Region of usual residence,Year,Number,Rate
Australian Capital Territory,2019,11,0.0
Australian Capital Territory,2020,24,5.4
Australian Capital Territory,2021,19,0.0
Australian Capital Territory,2022,26,5.7
Australian Capital Territory,2023,29,6.3
New South Wales,2019,486,5.4
New South Wales,2020,479,5.3
New South Wales,2021,504,5.5
New South Wales,2022,586,6.4
New South Wales,2023,534,5.7
Northern Territory,2019,26,12.5
Northern Territory,2020,27,11.8
Northern Territory,2021,22,9.2
Northern Territory,2022,19,0.0
Northern Territory,2023,16,0.0
Queensland,2019,278,4.9
Queensland,2020,328,5.8
Queensland,2021,361,6.1
Queensland,2022,411,6.9
Queensland,2023,389,6.3
South Australia,2019,120,6.0
South Australia,2020,104,5.1
South Australia,2021,121,6.0
South Australia,2022,119,5.7
South Australia,2023,112,5.2
Tasmania,2019,52,7.5
Tasmania,2020,57,8.1
Tasmania,2021,40,5.7
Tasmania,2022,65,9.4
Tasmania,2023,61,8.3
Victoria,2019,273,3.9
Victoria,2020,319,4.5
Victoria,2021,371,5.2
Victoria,2022,387,5.4
Victoria,2023,382,5.1
Western Australia,2019,143,4.9
Western Australia,2020,172,5.9
Western Australia,2021,153,5.0
Western Australia,2022,167,5.4
Western Australia,2023,144,4.6
